deputat,partia,perc_for,votes_for,tvo,oblast,year
Пономаренко Сергій Петрович ," Українська партія ""Зелена планета""",1.02,771,№8,Автономна Республіка Крим,2012
Мельник Галина Миколаївна ," Політична партія ""НОВА ПОЛІТИКА""",1.01,761,№8,Автономна Республіка Крим,2012
Касєєва Олена Миколаївна ," Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",0.93,699,№8,Автономна Республіка Крим,2012
Крижановський Станіслав Іванович ," Партія ""Союз""",0.81,613,№8,Автономна Республіка Крим,2012
Биткова Ніна Євгеніївна ," Партія ""Віче""",0.81,612,№8,Автономна Республіка Крим,2012
Свиридов Ігор Володимирович , Партія Зелених України,0.79,598,№8,Автономна Республіка Крим,2012
Колотюк Ольга Володимирівна ," Політична партія ""Народна ініціатива""",0.5,375,№8,Автономна Республіка Крим,2012
Стрельцова Олена Анатоліївна ," Політична партія ""Держава""",0.48,366,№8,Автономна Республіка Крим,2012
Рогульчик Валентина Іванівна , Українська морська партія,0.44,336,№8,Автономна Республіка Крим,2012
Мосієнко Володимир Дмитрович ," Партія ""Об’єднані ліві і селяни""",0.34,256,№8,Автономна Республіка Крим,2012
Нечаєв Олександр Ігоревич , Партія регіонів,58.07,42873,№9,Автономна Республіка Крим,2012
Толочко Елла Петрівна , Комуністична партія України,9.56,7063,№9,Автономна Республіка Крим,2012
Лесів Ігор Михайлович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",8.06,5957,№9,Автономна Республіка Крим,2012
Мельник Володимир Олександрович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",5.09,3758,№9,Автономна Республіка Крим,2012
Анелікова Євгенія Андріївна , самовисування,2.64,1955,№9,Автономна Республіка Крим,2012
Грива Олег Олександрович , самовисування,1.95,1442,№9,Автономна Республіка Крим,2012
Андрєєва Наталя Євгенівна , Партія Зелених України,1.9,1407,№9,Автономна Республіка Крим,2012
Ляшенко Олександр Юрійович , Народна Партія,1.61,1192,№9,Автономна Республіка Крим,2012
Кулєша Сергій Анатолійович , самовисування,1.56,1158,№9,Автономна Республіка Крим,2012
Жаріков Іван Петрович ," Партія ""Об’єднані ліві і селяни""",1.11,825,№9,Автономна Республіка Крим,2012
Плошихіна Наталя Василівна , Українська морська партія,1.11,821,№9,Автономна Республіка Крим,2012
Постєвая Тамара Григорівна ," Українська партія ""Зелена планета""",1.09,805,№9,Автономна Республіка Крим,2012
Канівець Наталія Іванівна ," Політична партія ""Держава""",1.08,802,№9,Автономна Республіка Крим,2012
